node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNT	HLF	9606.ENSP00000351407	9606.ENSP00000226067	0	0	0	0	0.051	0.141	0	0.337	0.412
ARNT	SMAD4	9606.ENSP00000351407	9606.ENSP00000341551	0	0	0	0	0.045	0	0.900	0.193	0.916
ARNT	BHLHA15	9606.ENSP00000351407	9606.ENSP00000476312	0	0	0	0	0	0	0	0.464	0.463
ATOH1	PHOX2B	9606.ENSP00000302216	9606.ENSP00000226382	0	0	0	0	0.065	0	0	0.537	0.549
ATOH1	GFI1B	9606.ENSP00000302216	9606.ENSP00000344782	0	0	0	0	0.062	0.151	0	0.444	0.518
BHLHA15	MYOG	9606.ENSP00000476312	9606.ENSP00000241651	0	0	0	0	0	0.251	0	0.321	0.470
BHLHA15	NR5A2	9606.ENSP00000476312	9606.ENSP00000356331	0	0	0	0	0.052	0	0	0.523	0.528
CEBPA	MYF5	9606.ENSP00000427514	9606.ENSP00000228644	0	0	0	0	0	0	0	0.430	0.430
CEBPA	MYB	9606.ENSP00000427514	9606.ENSP00000339992	0	0	0	0	0	0	0.650	0.649	0.872
CEBPA	SMAD4	9606.ENSP00000427514	9606.ENSP00000341551	0	0	0	0	0	0.285	0	0.335	0.504
CEBPA	E2F4	9606.ENSP00000427514	9606.ENSP00000368686	0	0	0	0	0	0.522	0.900	0.967	0.998
CEBPA	FLI1	9606.ENSP00000427514	9606.ENSP00000433488	0	0	0	0	0	0.058	0.650	0.081	0.670
E2F4	MYB	9606.ENSP00000368686	9606.ENSP00000339992	0	0	0	0	0.063	0.304	0	0.322	0.519
E2F4	SMAD4	9606.ENSP00000368686	9606.ENSP00000341551	0	0	0	0	0.063	0	0.900	0.786	0.978
EOMES	GSC	9606.ENSP00000388620	9606.ENSP00000238558	0	0	0	0	0.062	0.100	0	0.388	0.438
EOMES	POU3F3	9606.ENSP00000388620	9606.ENSP00000355001	0	0	0	0	0.062	0.135	0	0.388	0.460
FLI1	MYB	9606.ENSP00000433488	9606.ENSP00000339992	0	0	0	0	0	0	0.800	0.540	0.904
FLI1	SMAD4	9606.ENSP00000433488	9606.ENSP00000341551	0	0	0	0	0	0.060	0	0.426	0.438
FOXL2	SOX6	9606.ENSP00000333188	9606.ENSP00000379644	0	0	0	0	0	0.151	0	0.325	0.402
FOXL2	NR5A2	9606.ENSP00000333188	9606.ENSP00000356331	0	0	0	0	0	0	0	0.469	0.469
FOXL2	SMAD4	9606.ENSP00000333188	9606.ENSP00000341551	0	0	0	0	0	0.106	0	0.860	0.869
HAND2	PHOX2B	9606.ENSP00000352565	9606.ENSP00000226382	0	0	0	0	0.062	0	0	0.739	0.746
HAND2	MYOG	9606.ENSP00000352565	9606.ENSP00000241651	0	0	0	0	0	0.082	0	0.414	0.439
HLF	MAX	9606.ENSP00000226067	9606.ENSP00000351490	0	0	0	0	0	0.102	0	0.643	0.666
HOXC9	PAX8	9606.ENSP00000302836	9606.ENSP00000263334	0	0	0	0	0.062	0.302	0	0.202	0.432
HOXC9	SMAD4	9606.ENSP00000302836	9606.ENSP00000341551	0	0	0	0	0	0.125	0	0.459	0.506
MAX	SMAD4	9606.ENSP00000351490	9606.ENSP00000341551	0	0	0	0	0	0.281	0.900	0.111	0.930
MYB	PITX1	9606.ENSP00000339992	9606.ENSP00000265340	0	0	0	0	0	0.290	0	0.294	0.477
MYF5	PAX7	9606.ENSP00000228644	9606.ENSP00000364524	0	0	0	0	0.077	0	0	0.901	0.905
MYF5	MYOG	9606.ENSP00000228644	9606.ENSP00000241651	0	0	0	0.837	0.102	0	0.900	0.965	0.921
MYOG	NR5A2	9606.ENSP00000241651	9606.ENSP00000356331	0	0	0	0	0	0	0	0.541	0.541
MYOG	PAX7	9606.ENSP00000241651	9606.ENSP00000364524	0	0	0	0	0.073	0	0	0.903	0.906
NR5A2	PRDM14	9606.ENSP00000356331	9606.ENSP00000276594	0	0	0	0	0.064	0.066	0	0.461	0.488
POU3F3	TBR1	9606.ENSP00000355001	9606.ENSP00000374205	0	0	0	0	0.144	0.135	0	0.662	0.728
PRDM14	SMAD4	9606.ENSP00000276594	9606.ENSP00000341551	0	0	0	0	0	0.066	0.600	0.158	0.658
