node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNT	HLF	9606.ENSP00000351407	9606.ENSP00000226067	0	0	0	0	0.051	0.141	0	0.337	0.412
ARNT	SMAD3	9606.ENSP00000351407	9606.ENSP00000332973	0	0	0	0	0	0	0.900	0.214	0.918
ARNT	HIF1A	9606.ENSP00000351407	9606.ENSP00000437955	0	0	0	0.583	0.062	0.999	0.900	0.994	0.999
ARNTL	HLF	9606.ENSP00000384517	9606.ENSP00000226067	0	0	0	0	0.051	0.295	0	0.808	0.860
ARNTL	RARA	9606.ENSP00000384517	9606.ENSP00000254066	0	0	0	0	0	0.400	0	0.325	0.578
ARNTL	BHLHE40	9606.ENSP00000384517	9606.ENSP00000256495	0	0	0	0	0	0.277	0.900	0.733	0.979
ARNTL	CLOCK	9606.ENSP00000384517	9606.ENSP00000308741	0	0	0	0.649	0.065	0.998	0.900	0.996	0.999
ARNTL	NPAS2	9606.ENSP00000384517	9606.ENSP00000338283	0	0	0	0.644	0.065	0.971	0.900	0.995	0.998
ARNTL	HIF1A	9606.ENSP00000384517	9606.ENSP00000437955	0	0	0	0.625	0	0.749	0	0.930	0.836
ATOH1	MYCN	9606.ENSP00000302216	9606.ENSP00000281043	0	0	0	0	0	0	0	0.595	0.595
ATOH1	GATA3	9606.ENSP00000302216	9606.ENSP00000368632	0	0	0	0	0	0.078	0	0.512	0.531
ATOH1	CDX2	9606.ENSP00000302216	9606.ENSP00000370408	0	0	0	0	0.213	0.062	0	0.466	0.572
BHLHE40	USF2	9606.ENSP00000256495	9606.ENSP00000222305	0	0	0	0	0	0	0	0.418	0.418
BHLHE40	GATA3	9606.ENSP00000256495	9606.ENSP00000368632	0	0	0	0	0	0.149	0	0.330	0.406
BHLHE40	USF1	9606.ENSP00000256495	9606.ENSP00000357000	0	0	0	0	0	0	0	0.480	0.480
BHLHE40	HIF1A	9606.ENSP00000256495	9606.ENSP00000437955	0	0	0	0	0	0.057	0	0.576	0.583
BHLHE40	CLOCK	9606.ENSP00000256495	9606.ENSP00000308741	0	0	0	0	0	0.120	0.900	0.565	0.958
BHLHE40	NPAS2	9606.ENSP00000256495	9606.ENSP00000338283	0	0	0	0	0	0.201	0.900	0.741	0.977
CDX2	NEUROG3	9606.ENSP00000370408	9606.ENSP00000242462	0	0	0	0	0.062	0.076	0	0.432	0.465
CDX2	HNF1A	9606.ENSP00000370408	9606.ENSP00000257555	0	0	0	0	0.065	0.281	0	0.539	0.663
CDX2	GATA6	9606.ENSP00000370408	9606.ENSP00000269216	0	0	0	0	0.095	0.138	0	0.786	0.818
CDX2	T	9606.ENSP00000370408	9606.ENSP00000296946	0	0	0	0	0.063	0.133	0	0.532	0.586
CDX2	PGR	9606.ENSP00000370408	9606.ENSP00000325120	0	0	0	0	0	0.101	0	0.469	0.502
CDX2	SMAD3	9606.ENSP00000370408	9606.ENSP00000332973	0	0	0	0	0	0.076	0	0.698	0.709
CDX2	GATA4	9606.ENSP00000370408	9606.ENSP00000334458	0	0	0	0	0	0.090	0	0.754	0.766
CDX2	GATA2	9606.ENSP00000370408	9606.ENSP00000345681	0	0	0	0	0.062	0.090	0	0.495	0.532
